shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
shm_addr = 7900
======================================
 all_ops == 2000000
 test_time == 14.611044
 Throughput == 136882.758001
 ======================================
20        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       136797.43    136797.43         0.00      0.14400    142660.43 
Waits           0.00          ---          ---      0.00000          --- 
Totals     136797.43    136797.43         0.00      0.14400    142660.43 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.013         0.00
GET       0.014         0.00
GET       0.015         0.01
GET       0.016         0.02
GET       0.017         0.03
GET       0.018         0.03
GET       0.019         0.04
GET       0.020         0.04
GET       0.021         0.04
GET       0.022         0.04
GET       0.023         0.04
GET       0.024         0.04
GET       0.025         0.04
GET       0.026         0.04
GET       0.027         0.04
GET       0.028         0.04
GET       0.029         0.04
GET       0.030         0.05
GET       0.031         0.05
GET       0.032         0.05
GET       0.033         0.05
GET       0.034         0.05
GET       0.035         0.06
GET       0.036         0.06
GET       0.037         0.06
GET       0.038         0.06
GET       0.039         0.07
GET       0.040         0.07
GET       0.041         0.07
GET       0.042         0.07
GET       0.043         0.07
GET       0.044         0.08
GET       0.045         0.08
GET       0.046         0.08
GET       0.047         0.08
GET       0.048         0.08
GET       0.049         0.09
GET       0.050         0.09
GET       0.051         0.09
GET       0.052         0.09
GET       0.053         0.09
GET       0.054         0.10
GET       0.055         0.10
GET       0.056         0.11
GET       0.057         0.11
GET       0.058         0.11
GET       0.059         0.11
GET       0.060         0.11
GET       0.061         0.11
GET       0.062         0.12
GET       0.063         0.12
GET       0.064         0.12
GET       0.065         0.12
GET       0.066         0.12
GET       0.067         0.12
GET       0.068         0.12
GET       0.069         0.12
GET       0.070         0.12
GET       0.071         0.13
GET       0.072         0.13
GET       0.073         0.13
GET       0.074         0.13
GET       0.075         0.13
GET       0.076         0.13
GET       0.077         0.13
GET       0.078         0.13
GET       0.079         0.13
GET       0.080         0.13
GET       0.081         0.13
GET       0.082         0.13
GET       0.083         0.13
GET       0.084         0.13
GET       0.085         0.13
GET       0.086         0.14
GET       0.087         0.14
GET       0.088         0.14
GET       0.089         0.14
GET       0.090         0.14
GET       0.091         0.14
GET       0.092         0.14
GET       0.093         0.14
GET       0.094         0.14
GET       0.095         0.14
GET       0.096         0.15
GET       0.097         0.15
GET       0.098         0.15
GET       0.099         0.15
GET       0.100         0.18
GET       0.110         0.33
GET       0.120         2.85
GET       0.130        27.22
GET       0.140        67.90
GET       0.150        82.70
GET       0.160        88.88
GET       0.170        93.51
GET       0.180        96.50
GET       0.190        97.56
GET       0.200        97.86
GET       0.210        97.97
GET       0.220        98.02
GET       0.230        98.06
GET       0.240        98.20
GET       0.250        98.46
GET       0.260        99.00
GET       0.270        99.53
GET       0.280        99.84
GET       0.290        99.91
GET       0.300        99.95
GET       0.310        99.98
GET       0.320        99.99
GET       0.330        99.99
GET       0.340        99.99
GET       0.350       100.00
GET       0.360       100.00
GET       0.370       100.00
GET       0.380       100.00
GET       0.390       100.00
GET       0.400       100.00
GET       0.410       100.00
GET       0.420       100.00
GET       0.470       100.00
GET       0.480       100.00
GET       0.560       100.00
GET       0.640       100.00
GET       1.000       100.00
GET       1.100       100.00
GET       2.100       100.00
GET       2.200       100.00
GET       2.300       100.00
GET       2.400       100.00
GET       2.600       100.00
---
