shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1500000
 test_time == 13.957327
 Throughput == 107470.434704
 ======================================
15        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets       106840.21    106840.21         0.00      0.13700    111419.27 
Waits           0.00          ---          ---      0.00000          --- 
Totals     106840.21    106840.21         0.00      0.13700    111419.27 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
---
GET       0.026         0.00
GET       0.027         0.00
GET       0.028         0.00
GET       0.029         0.00
GET       0.030         0.01
GET       0.031         0.01
GET       0.032         0.02
GET       0.033         0.02
GET       0.034         0.02
GET       0.035         0.02
GET       0.036         0.03
GET       0.037         0.03
GET       0.038         0.03
GET       0.039         0.03
GET       0.040         0.03
GET       0.041         0.03
GET       0.042         0.04
GET       0.043         0.04
GET       0.044         0.04
GET       0.045         0.04
GET       0.046         0.05
GET       0.047         0.05
GET       0.048         0.05
GET       0.049         0.06
GET       0.050         0.06
GET       0.051         0.06
GET       0.052         0.07
GET       0.053         0.07
GET       0.054         0.07
GET       0.055         0.07
GET       0.056         0.08
GET       0.057         0.09
GET       0.058         0.10
GET       0.059         0.11
GET       0.060         0.13
GET       0.061         0.14
GET       0.062         0.14
GET       0.063         0.15
GET       0.064         0.15
GET       0.065         0.16
GET       0.066         0.16
GET       0.067         0.17
GET       0.068         0.18
GET       0.069         0.19
GET       0.070         0.20
GET       0.071         0.21
GET       0.072         0.22
GET       0.073         0.23
GET       0.074         0.24
GET       0.075         0.24
GET       0.076         0.25
GET       0.077         0.25
GET       0.078         0.26
GET       0.079         0.27
GET       0.080         0.28
GET       0.081         0.29
GET       0.082         0.30
GET       0.083         0.32
GET       0.084         0.34
GET       0.085         0.35
GET       0.086         0.37
GET       0.087         0.38
GET       0.088         0.40
GET       0.089         0.42
GET       0.090         0.44
GET       0.091         0.47
GET       0.092         0.54
GET       0.093         0.62
GET       0.094         0.74
GET       0.095         0.87
GET       0.096         0.99
GET       0.097         1.11
GET       0.098         1.25
GET       0.099         1.41
GET       0.100         2.98
GET       0.110        10.77
GET       0.120        23.60
GET       0.130        56.85
GET       0.140        75.80
GET       0.150        82.67
GET       0.160        88.18
GET       0.170        93.49
GET       0.180        96.80
GET       0.190        97.73
GET       0.200        97.92
GET       0.210        98.03
GET       0.220        98.28
GET       0.230        98.81
GET       0.240        99.47
GET       0.250        99.88
GET       0.260        99.94
GET       0.270        99.96
GET       0.280        99.96
GET       0.290        99.96
GET       0.300        99.97
GET       0.310        99.97
GET       0.320        99.97
GET       0.330        99.98
GET       0.340        99.98
GET       0.350        99.99
GET       0.360        99.99
GET       0.370        99.99
GET       0.380        99.99
GET       0.390        99.99
GET       0.400        99.99
GET       0.410        99.99
GET       0.420        99.99
GET       0.430        99.99
GET       0.440        99.99
GET       0.450        99.99
GET       0.460       100.00
GET       0.470       100.00
GET       0.480       100.00
GET       0.490       100.00
GET       0.500       100.00
GET       0.510       100.00
GET       0.520       100.00
GET       0.530       100.00
GET       0.540       100.00
GET       0.550       100.00
GET       0.560       100.00
GET       0.570       100.00
GET       0.580       100.00
GET       0.590       100.00
GET       0.600       100.00
GET       0.610       100.00
GET       0.620       100.00
GET       0.630       100.00
GET       0.650       100.00
GET       0.660       100.00
GET       0.680       100.00
GET       0.690       100.00
GET       0.720       100.00
GET       0.770       100.00
GET       0.790       100.00
GET       0.840       100.00
GET       0.920       100.00
---
